q1;q2;psi 1;psi2;u1;u2;tau
1.6;0;0;1;0.736329172;0.633271063;0.156463479
1.6;0.2;0;1;0.736329172;1;0.156463479
1.6;0.4;0;1;0.736329172;1;0.156463479
1.6;0.6;0;1;0.736329172;1;0.156463479
1.6;0.8;0;1;0.736329172;1;0.156463479
1.6;1;0;1;0.736329172;1;0.156463479
1.6;1.2;0.4;0.6;0.74006129;0.982478624;0.158120057
1.6;1.4;0.9;0.1;0.747649302;0.849332988;0.161512654
1.6;1.6;0.1;0.9;0.749819598;0.749817063;0.162502506
1.6;1.8;0.5;0.5;0.756340989;0.672309231;0.165442541
1.6;2;0.9;0.1;0.76288869;0.61032067;0.168432098
1.6;2.2;0.3;0.7;0.769514303;0.559635001;0.171474794
1.6;2.4;0.2;0.8;0.776143768;0.517442112;0.17455985
1.6;2.6;0.1;0.9;0.782845258;0.48177306;0.177703966
1.6;2.8;0.1;0.9;0.789652964;0.451230562;0.180900583
1.6;3;0.2;0.8;0.794510477;0.431561504;0.190273525
1.8;0;0;1;0.660489487;0.050989563;0.159452677
1.8;0.2;0;1;0.660489487;1;0.159452677
1.8;0.4;0;1;0.660489487;1;0.159452677
1.8;0.6;0;1;0.660489487;1;0.159452677
1.8;0.8;0;1;0.660489487;1;0.159452677
1.8;1;0;1;0.660489487;1;0.159452677
1.8;1.2;0.3;0.7;0.665421207;0.990829476;0.161939524
1.8;1.4;0.3;0.7;0.666506641;0.856968579;0.162501705
1.8;1.6;0.4;0.6;0.672221927;0.756347767;0.165442488
1.8;1.8;0.5;0.5;0.678132616;0.678126055;0.168431345
1.8;2;0.2;0.8;0.683999069;0.615602594;0.171469683
1.8;2.2;0.2;0.8;0.6899213;0.564483256;0.17456046
1.8;2.4;0.7;0.3;0.695895611;0.521919162;0.177704422
1.8;2.6;0.3;0.7;0.701913753;0.485940522;0.180900519
1.8;2.8;0.3;0.7;0.706230759;0.463028168;0.190819052
1.8;3;0.2;0.8;0.759728736;0.441106248;0.213056039
2;0;0;1;0.599870254;0.761055438;0.162497276
2;0.2;0;1;0.599870254;1;0.162497276
2;0.4;0;1;0.599870254;1;0.162497276
2;0.6;0;1;0.599870254;1;0.162497276
2;0.8;0;1;0.599870254;1;0.162497276
2;1;0;1;0.599870254;1;0.162497276
2;1.2;0.8;0.2;0.60825163;0.998997449;0.167249193
2;1.4;0.3;0.7;0.605076037;0.864389884;0.165441252
2;1.6;0;1;0.610316046;0.762892235;0.16842945
2;1.8;0.2;0.8;0.615599014;0.684005565;0.171471078
2;2;0.2;0.8;0.620929171;0.620931633;0.17456049
2;2.2;0.2;0.8;0.626303523;0.569369497;0.177704655
2;2.4;0.7;0.3;0.631722522;0.526435325;0.180900427
2;2.6;0.4;0.6;0.635608335;0.499450744;0.191456383
2;2.8;0.3;0.7;0.67833272;0.474869727;0.209578307
2;3;0.3;0.7;0.677802691;0.47427576;0.231269391
2.2;0;0;1;0.550320432;0.68560392;0.16559827
2.2;0.2;0;1;0.550320432;1;0.16559827
2.2;0.4;0;1;0.550320432;1;0.16559827
2.2;0.6;0;1;0.550320432;1;0.16559827
2.2;0.8;0;1;0.550320432;1;0.16559827
2.2;1;0;1;0.550320432;1;0.16559827
2.2;1.2;0.4;0.6;0.550320103;1;0.165598282
2.2;1.4;0.5;0.5;0.554835138;0.871876634;0.168430943
2.2;1.6;0.7;0.3;0.559635114;0.769501532;0.171468893
2.2;1.8;0.3;0.7;0.564480982;0.689922861;0.174559874
2.2;2;0.5;0.5;0.569339014;0.626305417;0.177704068
2.2;2.2;0.5;0.5;0.574293018;0.574294226;0.180901094
2.2;2.4;0.1;0.9;0.592737999;0.529618289;0.193166286
2.2;2.6;0.4;0.6;0.612611472;0.513210112;0.206740678
2.2;2.8;0.4;0.6;0.612779429;0.512831472;0.235702348
2.2;3;0.3;0.7;0.678488123;0.473807053;0.255449141
2.4;0;0;1;0.509072657;0.629650057;0.16875667
2.4;0.2;0;1;0.509072657;1;0.16875667
2.4;0.4;0;1;0.509072657;1;0.16875667
2.4;0.6;0;1;0.509072657;1;0.16875667
2.4;0.8;0;1;0.509072657;1;0.16875667
2.4;1;0;1;0.509072657;1;0.16875667
2.4;1.2;0.1;0.9;0.509072531;1;0.168756675
2.4;1.4;0.6;0.4;0.513003541;0.87942723;0.17147064
2.4;1.6;0.7;0.3;0.517440902;0.776167009;0.17456164
2.4;1.8;0.3;0.7;0.521920323;0.695892945;0.177703445
2.4;2;0.6;0.4;0.526436123;0.631722212;0.180900916
2.4;2.2;0.3;0.7;0.542209498;0.577619343;0.192289526
2.4;2.4;0.5;0.5;0.558493443;0.558611151;0.204542475
2.4;2.6;0.5;0.5;0.55845833;0.558090516;0.24087222
2.4;2.8;0.4;0.6;0.612481575;0.512603386;0.247435775
2.4;3;0.4;0.6;0.612227119;0.513185347;0.272457022
2.6;0;0;1;0.47421105;0.971636437;0.171973504
2.6;0.2;0;1;0.47421105;1;0.171973504
2.6;0.4;0;1;0.47421105;1;0.171973504
2.6;0.6;0;1;0.47421105;1;0.171973504
2.6;0.8;0;1;0.47421105;1;0.171973504
2.6;1;0;1;0.47421105;1;0.171973504
2.6;1.2;0.7;0.3;0.474210243;1;0.17197354
2.6;1.4;0.6;0.4;0.477640497;0.887041579;0.17456108
2.6;1.6;0.6;0.4;0.481773782;0.78287944;0.177704344
2.6;1.8;0.4;0.6;0.485940966;0.701913715;0.180900862
2.6;2;0.7;0.3;0.488924461;0.653774319;0.194268402
2.6;2.2;0.6;0.4;0.513329516;0.612569239;0.206742769
2.6;2.4;0.5;0.5;0.558058861;0.558428317;0.240884923
2.6;2.6;0.5;0.5;0.55804264;0.557933742;0.241027464
2.6;2.8;0.5;0.5;0.558378778;0.558895883;0.281918158
2.6;3;0.4;0.6;0.613519159;0.513219097;0.293461875
2.8;0;0;1;0.444367124;0.080180877;0.17524982
2.8;0.2;0;1;0.444367124;1;0.17524982
2.8;0.4;0;1;0.444367124;1;0.17524982
2.8;0.6;0;1;0.444367124;1;0.17524982
2.8;0.8;0;1;0.444367124;1;0.17524982
2.8;1;0;1;0.444367124;1;0.17524982
2.8;1.2;0.7;0.3;0.444367125;1;0.175249821
2.8;1.4;0.6;0.4;0.44736267;0.894719217;0.177705414
2.8;1.6;0.8;0.2;0.451230229;0.7896539;0.180900781
2.8;1.8;0;1;0.47456544;0.706231537;0.200775482
2.8;2;0.7;0.3;0.47487977;0.67821074;0.20950043
2.8;2.2;0.6;0.4;0.512715299;0.612613622;0.235660447
2.8;2.4;0.6;0.4;0.512858666;0.612417202;0.247381777
2.8;2.6;0.5;0.5;0.558788355;0.55789297;0.281804628
2.8;2.8;0.5;0.5;0.558543333;0.558828977;0.281973557
2.8;3;0.5;0.5;0.558257223;0.560011198;0.327767662
3;0;0;1;0.418537312;0.60371546;0.178586682
3;0.2;0;1;0.418537312;1;0.178586682
3;0.4;0;1;0.418537312;1;0.178586682
3;0.6;0;1;0.418537312;1;0.178586682
3;0.8;0;1;0.418537312;1;0.178586682
3;1;0;1;0.418537312;1;0.178586682
3;1.2;0.2;0.8;0.41853706;1;0.178586696
3;1.4;0.7;0.3;0.421148657;0.902460514;0.180900702
3;1.6;0.8;0.2;0.4315577;0.794510471;0.190271734
3;1.8;0.8;0.2;0.441766756;0.759737481;0.213061107
3;2;0.7;0.3;0.474236443;0.678209313;0.231252613
3;2.2;0.7;0.3;0.474249556;0.678017257;0.255085611
3;2.4;0.6;0.4;0.513184792;0.612231854;0.272457703
3;2.6;0.6;0.4;0.513307533;0.61317015;0.293111413
3;2.8;0.5;0.5;0.560004019;0.558688267;0.327780276
3;3;0.5;0.5;0.560096458;0.560070822;0.327662904
